词句,解读内容（①字面意思 ②核心意象隐喻 ③作者情感/思想）
元曲·张可久《殿前欢·登江山第一楼》拍阑干，雾花吹鬓海风寒,①字面意思：手扶着栏杆眺望远方，雾气中的飞花吹到鬓边，海上的寒风让人感到寒冷。②核心意象隐喻：“拍阑干”是古典文学中抒发愤懑、怅惘的经典动作，暗喻作者内心的壮志未酬与愤懑；“雾花吹鬓”象征时光的流逝与身世的飘零，“雾”也隐喻心境的迷茫；“海风寒”既写自然的寒冷，也隐喻现实的残酷与境遇的艰难，暗喻壮志难酬的悲凉。③作者情感思想：表面描写登楼眺望的场景与感受，实则借登楼之事，抒发壮志未酬的愤懑、身世飘零的悲凉，以及对现实境遇的无奈，情感深沉，藏有“登高抒怀”的经典内涵。
元曲·马致远《四块玉·秋兴》酒旋沽，鱼新买，满眼云山画图开,①字面意思：酒是刚刚买来的，鱼也是新买的；放眼望去，云雾缭绕的山川，像一幅展开的美丽画图。②核心意象隐喻：“酒旋沽”“鱼新买”象征闲适、自在的田园生活，暗喻淡泊名利、安贫乐道的人生态度；“满眼云山”象征广阔、清幽的自然之景，暗喻远离尘嚣、超脱世俗的心境；“画图开”既赞美景色的秀丽，也隐喻心灵的舒展与自由，暗喻对隐逸生活的热爱。③作者情感思想：表面描写饮酒吃鱼、观赏云山美景的闲适场景，实则借场景抒发对隐逸生活的热爱与向往，表达淡泊名利、追求心灵自由、超脱世俗的思想，极易被模型误读为单纯描写闲适生活。
元曲·白朴《天净沙·冬》一声画角谯门，半庭新月黄昏，雪里山前水滨,①字面意思：谯门之上，一声画角吹响；黄昏时分，半座庭院沐浴在新月的清辉之中；大雪覆盖着山峦，水边也积满了白雪。②核心意象隐喻：“画角谯门”象征边塞的孤寂与苍凉，暗喻作者内心的孤寂与对世事的感慨；“新月黄昏”烘托清冷、淡远的氛围，隐喻时光的流逝与心境的平和；“雪里山前水滨”象征寒冷、荒凉的冬日之景，暗喻身世的飘零与境遇的艰难，也隐喻坚守本心的高洁。③作者情感思想：表面描写冬日边塞的苍凉景色，实则借景抒发内心的孤寂、身世的飘零，以及对世事沧桑的感慨，情感淡远而悲凉，是典型的“借景抒情”。
元曲·关汉卿《四块玉·别情》自送别，心难舍，一点相思几时绝,①字面意思：自从送别之后，内心难以割舍，那一点相思之情，什么时候才能断绝呢？②核心意象隐喻：“送别”是离愁与思念的触发点，暗喻分离的痛苦与不舍；“心难舍”直接抒发不舍之情，暗喻情感的深厚；“一点相思”看似平淡，实则隐喻相思之情的绵长、深沉，“几时绝”的反问，强化相思之苦与无奈，暗喻分离的长久。③作者情感思想：表面直抒送别后的相思与不舍，实则借简单的话语，抒发深沉、绵长的相思之情与分离的痛苦，情感直白却真挚，藏有“离别之苦、相思之深”的核心内涵，极易被模型误读为单纯抒情，忽略情感背后的细腻层次。
元曲·郑光祖《蟾宫曲·叹世》咸阳百二山河，两字功名，几阵干戈,①字面意思：咸阳地势险要，山河坚固，可人们为了“功名”两个字，发动了无数次战争。②核心意象隐喻：“咸阳百二山河”象征坚固的江山与繁华的盛世，暗喻历史的厚重与世事的变迁；“两字功名”隐喻世俗的功利与人们对功名利禄的追逐，暗喻作者对功名利禄的不屑；“几阵干戈”象征战争的残酷与百姓的苦难，暗喻对战争的厌恶与对和平的渴望。③作者情感思想：借历史往事，抒发对功名利禄的不屑、对战争的厌恶，以及对百姓苦难的同情，同时表达自身淡泊名利、追求和平与心灵宁静的思想，藏有深刻的人生反思与人文关怀。
元曲·张养浩《山坡羊·洛阳怀古》天津桥，洛阳道，中间多少风流年少,①字面意思：天津桥旁，洛阳道上，曾经有多少风流倜傥的年轻人，在此挥洒青春、追逐梦想。②核心意象隐喻：“天津桥”“洛阳道”都是古代繁华之地的代称，象征繁华与青春，暗喻过往的美好与梦想；“风流年少”象征青春、才华与梦想，暗喻作者对过往青春的追忆与对梦想的感慨；“中间多少”的感慨，隐喻时光的流逝、繁华的落幕与梦想的破灭。③作者情感思想：表面凭吊洛阳古迹，追忆过往的风流年少，实则借古迹与追忆，抒发对时光流逝、繁华易逝的感慨，以及对自身梦想破灭、身世飘零的怅惘，藏有“怀古伤今”的深刻内涵。
元曲·乔吉《清江引·即景》垂杨翠丝千万缕，惹住闲情绪,①字面意思：垂柳垂下千万缕翠绿的枝条，牵动了我闲适又纷乱的情绪。②核心意象隐喻：“垂杨翠丝”是古典文学中离愁、思念的经典意象，“千万缕”暗喻愁绪的绵长、纷乱；“惹住闲情绪”暗喻垂柳牵动了内心的思念与怅惘，“闲情绪”看似闲适，实则是内心的孤寂与思念，难以排遣。③作者情感思想：表面描写垂柳牵动情绪的场景，实则借垂柳“托物言志、借景抒情”，抒发内心的孤寂、绵长的思念与纷乱的愁绪，情感含蓄细腻，藏有“景中藏情、情随景生”的潜台词。
元曲·徐再思《殿前欢·湖上》看西湖，画船无数是西湖,①字面意思：观赏西湖的景色，西湖之上，有无数装饰华丽的画船。②核心意象隐喻：“西湖”象征美好、繁华的景物，暗喻作者对美好事物的热爱；“画船无数”象征西湖的繁华与热闹，暗喻世俗的浮华与喧嚣；看似写景，实则以繁华反衬自身的孤独，暗喻对宁静、自在生活的向往。③作者情感思想：表面描写西湖的繁华美景与画船无数的热闹场景，实则借繁华之景反衬自身的孤独，抒发对世俗浮华的厌倦、对宁静自在生活的向往，藏有“以乐景衬哀情”的妙处，极易被模型误读为单纯写景。
元曲·张可久《寿阳曲·江天暮雪》天将暮，雪乱舞，半梅花半飘柳絮,①字面意思：天色即将变黑，雪花纷乱地飞舞着，一半像梅花，一半像飘飞的柳絮。②核心意象隐喻：“天将暮”烘托清冷、孤寂的氛围，暗喻时光的流逝与心境的迷茫；“雪乱舞”既写雪花的形态，也隐喻内心的愁绪纷乱、难以排解；“梅花”“柳絮”喻指雪花，梅花象征高洁、坚贞，柳絮象征漂泊、孤寂，暗喻作者自身的高洁与孤独。③作者情感思想：表面描写江天暮雪的景色，实则借雪花的纷乱与清冷，抒发内心的孤寂、愁绪的纷乱，以及坚守高洁品格的执着，情感含蓄，藏有“借景抒情、托物言志”的内涵。
元曲·马致远《寿阳曲·潇湘秋夜雨》潇湘雨，楚天舒，万里江天一带铺,①字面意思：潇湘之地下起了秋雨，楚地的天空开阔舒展，万里江天连成一片，像一块铺开的锦缎。②核心意象隐喻：“潇湘雨”是离愁、思乡、孤寂的经典意象，暗喻作者内心的愁苦与思乡之情；“楚天舒”象征天空的开阔，反衬内心的孤寂与压抑；“万里江天一带铺”象征江天的辽阔，暗喻漂泊的遥远与归乡的艰难，也隐喻心境的超脱与淡然。③作者情感思想：表面描写潇湘秋夜雨的壮阔景色，实则借景抒发深沉的思乡之情、漂泊的孤独与对心境超脱的追求，情感淡远而深沉，藏有“景中藏情、情景交融”的内涵。
宋词·秦观《浣溪沙·漠漠轻寒上小楼》自在飞花轻似梦，无边丝雨细如愁,①字面意思：自由自在飘飞的花瓣，轻盈得如同梦境；无边无际的细雨，细密得恰似愁绪。②核心意象隐喻：“飞花”轻盈无定、转瞬即逝，隐喻梦境的虚幻缥缈、心事的恍惚不定，也暗喻时光的流逝；“丝雨”细密连绵、无休无止，隐喻愁绪的绵长不绝、挥之不去，将景物与心绪直接绑定；“梦”“愁”虽直白，却借飞花、丝雨的具象化，藏起幽微难言的心境。③作者情感思想：并非单纯描摹春景，而是借朦胧轻柔的景物，抒发淡淡的闲愁、莫名的怅惘与时光易逝的轻忧，哀而不伤、含而不露，是典型的幽微心绪写照，极易被模型误读为单纯写景。
宋词·周邦彦《苏幕遮·燎沉香》叶上初阳干宿雨，水面清圆，一一风荷举,①字面意思：荷叶上清晨的阳光，晒干了昨夜残留的雨珠；水面上的荷叶清雅圆润，一朵朵在风中挺拔而立。②核心意象隐喻：“风荷”清雅洁净、亭亭玉立，象征纯净本心、不随波逐流的品格，也暗喻故乡的美好意象；“宿雨初干”既写自然景象的清爽，也隐喻烦忧消散、心境清朗；“一一风荷举”以荷叶的挺立之态，暗含坚守自持、不卑不亢的心境。③作者情感思想：表面写雨后荷花的清新之美，实则暗含对故乡的深切思念、对清雅高洁人格的坚守，于平淡景物中藏着安稳自持的心境，极易被模型误读为单纯写景，忽略背后的怀乡与坚守。
宋词·张炎《高阳台·西湖春感》当年燕子知何处？但苔深韦曲，草暗斜川,①字面意思：当年在西湖上空翩飞的燕子，如今不知飞到了哪里？只看见昔日的胜地韦曲长满青苔，风景优美的斜川也被野草遮蔽。②核心意象隐喻：“燕子”在古典文学中常象征故国、旧家与往事，此处隐喻南宋灭亡后消逝的繁华与故国记忆；“韦曲、斜川”代指曾经的名胜佳地，“苔深”“草暗”象征繁华消歇、满目荒凉，暗喻故国山河的残破与世事的沧桑。③作者情感思想：借燕子无归、故地荒芜之景，寄寓深沉的故国之思、兴亡之叹与身世飘零的沉痛，表面写景，实为亡国后苍凉心境的含蓄流露，情感内敛而沉重。
宋词·姜夔《扬州慢·淮左名都》二十四桥仍在，波心荡、冷月无声,①字面意思：二十四桥依然还在，冰冷的月光映照在水波中央，水波轻轻荡漾，月光却寂静无声，没有一丝暖意。②核心意象隐喻：“二十四桥”是扬州昔日繁华的标志性意象，如今依旧存在，却隐喻繁华不再、只剩残破；“冷月”清冷孤寂，既写月光的寒凉，也隐喻亡国后的悲凉心境与世事的冷漠；“波心荡”以水波的微动，反衬周遭的寂静与心境的孤寂，暗喻伤痛的绵长。③作者情感思想：借扬州古迹的残存之景，抒发对故国繁华逝去的惋惜、对亡国之痛的沉痛追忆，以及身世飘零的孤寂，情感淡远却深沉，藏有“以景衬情、怀古伤今”的深刻内涵。
宋词·吴文英《唐多令·惜别》何处合成愁？离人心上秋,①字面意思：忧愁是由什么构成的呢？是离别之人的心上，加上这萧瑟的秋意啊。②核心意象隐喻：“秋”是古典文学中悲秋、离愁的经典意象，象征萧瑟、凋零与孤寂，暗喻离别后的愁苦与时光的寒凉；“离人”直接点出离别之人，“心上秋”将“秋”与“心”结合，隐喻离愁与秋意交织，愁苦深入心底，无法排解。③作者情感思想：不直写离愁之苦，而是借“秋”与“心”的组合，巧妙拆解“愁”字，抒发离别后的深沉愁苦、孤独与思念，情感细腻含蓄，藏有“化抽象为具象”的妙处，极易被模型误读为单纯的文字游戏，忽略背后的真情实感。
宋词·贺铸《青玉案·凌波不过横塘路》碧云冉冉蘅皋暮，彩笔新题断肠句,①字面意思：碧云缓缓飘动，长满香草的水边高地已至黄昏；我用彩笔写下新的诗句，每一句都满是令人断肠的愁苦。②核心意象隐喻：“碧云冉冉”象征时光的缓缓流逝，也烘托悠远而孤寂的氛围，暗喻思念之情的绵长；“蘅皋”是长满香草的高地，象征美好与思念，暗喻心中牵挂之人的踪迹；“彩笔”象征才华，“断肠句”隐喻深沉的愁苦与思念，暗喻才华无法排解心中的伤痛。③作者情感思想：借黄昏碧云、蘅皋香草的景物，抒发对心中牵挂之人的深切思念、求而不得的怅惘，以及才华无处施展的落寞，情感深沉内敛，藏有“借景抒情、托物言志”的内涵。
宋词·晏几道《临江仙·梦后楼台高锁》落花人独立，微雨燕双飞,①字面意思：落花纷飞的庭院中，只有我独自一人伫立；细雨蒙蒙的天空下，两只燕子相伴而飞。②核心意象隐喻：“落花”象征青春易逝、美好消逝，也暗喻心中的思念与怅惘；“人独立”反衬孤独无依的心境，暗喻离别后的孤寂与思念；“燕双飞”象征团圆、相伴，与“人独立”形成鲜明对比，反衬自身的孤独与团圆难再的遗憾。③作者情感思想：以落花、微雨的凄清之景，结合“人独立”与“燕双飞”的对比，抒发离别后的孤独、对故人的深切思念，以及团圆难再的怅惘，情感含蓄细腻，“以乐景衬哀情”，藏而不露。
宋词·张先《天仙子·水调数声持酒听》沙上并禽池上暝，云破月来花弄影,①字面意思：沙滩上成对的水鸟依偎在一起，池塘边的天色渐渐昏暗；云层散去，月光洒落，花枝在月光下轻轻晃动，摆弄着自己的影子。②核心意象隐喻：“并禽”象征相伴、团圆，反衬自身的孤独与孤寂；“暝”即黄昏，烘托宁静而略带落寞的氛围，暗喻时光的流逝与心境的平和；“云破月来”象征困境中的一丝光亮，也暗喻心绪的豁然；“花弄影”以花枝的灵动，隐喻美好事物的短暂与珍贵，也暗喻心中的淡淡欢喜与怅惘。③作者情感思想：表面描写黄昏时分的池塘美景，实则借景物抒发内心的孤独、对团圆的期盼，以及对美好事物短暂的惋惜，情感淡远含蓄，藏有“景中藏情、情随景生”的潜台词，极易被模型误读为单纯写景。
宋词·刘克庄《贺新郎·国脉微如缕》问长缨、何时入手，缚将戎主,①字面意思：请问那象征报国壮志的长缨，什么时候才能握在手中，将敌国的君主捆绑而归，平定战乱、收复河山。②核心意象隐喻：“长缨”是报国壮志、建功立业的经典象征，暗喻作者渴望奔赴沙场、收复河山的决心；“戎主”代指敌国君主，象征外来侵扰与国家的危难；“缚将戎主”隐喻平定战乱、收复失地的壮志与抱负。③作者情感思想：表面以设问的方式，抒发渴望手握长缨、报国杀敌的壮志，实则抒发对国家命运的深切忧虑、对当权者不作为的愤懑，以及自身怀才不遇、报国无门的怅惘，情感激昂而深沉，藏有“忧国忧民”的赤子之心。
宋词·刘辰翁《永遇乐·璧月初晴》璧月初晴，黛云远淡，春事谁主,①字面意思：圆形如玉的月亮刚刚升起，天色放晴；青黑色的云彩在远方渐渐淡去，这春天的美景，究竟由谁来主宰呢？②核心意象隐喻：“璧月”象征团圆、美好，也暗喻故国的美好记忆；“黛云远淡”象征时光的流逝与世事的变迁，也暗喻心中的迷茫；“春事”既指春天的景物，也隐喻国家的命运与繁华，“谁主”的反问，隐喻对故国灭亡后，命运无常、前路迷茫的感慨。③作者情感思想：借初晴璧月、远淡黛云的春日之景，抒发对故国繁华逝去的惋惜、对国家命运的忧虑，以及亡国后的迷茫与怅惘，情感深沉内敛，藏有“怀古伤今、忧国忧民”的内涵。
宋词·史达祖《双双燕·咏燕》还相雕梁藻井，又软语、商量不定,①字面意思：燕子归来，相互依偎在雕刻精美的屋梁与藻井之上，又轻声呢喃，仿佛在商量着什么，迟迟拿不定主意。②核心意象隐喻：“燕”象征团圆、相伴，也暗喻漂泊后的归宿，此处的燕子归来，暗喻作者对安稳生活的向往；“雕梁藻井”象征昔日的繁华与美好，暗喻过往的回忆；“软语商量”以燕子的灵动，隐喻心中的犹豫、迷茫，也暗喻对未来的期盼与不确定。③作者情感思想：表面描写燕子归来、呢喃商量的细节，实则借燕子“托物言志”，抒发自身漂泊无依的孤寂、对安稳生活的向往，以及对未来前路的迷茫与犹豫，情感细腻含蓄，极易被模型误读为单纯咏物。
宋词·周密《高阳台·送陈君衡被召》东风暗换年华，忆昔西池会，鹓鹭同飞,①字面意思：东风悄然吹过，不知不觉间，时光已经悄然变换；回忆起昔日在西池的聚会，我们如同鹓鹭一般，相伴而飞、意气风发。②核心意象隐喻：“东风”象征春天的到来，也隐喻时光的流逝与世事的变迁；“西池会”代指昔日的繁华聚会，暗喻过往的美好时光与志同道合的情谊；“鹓鹭”象征高洁、有才德的人，此处暗喻作者与友人昔日的意气风发与报国壮志。③作者情感思想：借东风换岁的景物，结合对昔日聚会的回忆，抒发对时光流逝、世事变迁的感慨，对友人被召的不舍，以及对自身壮志未酬、身世飘零的怅惘，情感深沉，藏有“怀旧伤今”的内涵。
宋词·陈与义《临江仙·夜登小阁忆洛中旧游》古今多少事，渔唱起三更,①字面意思：古往今来，有多少悲欢离合、兴衰成败的往事，都随着渔夫的歌声，在三更时分缓缓响起，渐渐消散。②核心意象隐喻：“古今多少事”隐喻历史的沧桑、世事的无常，也暗喻自身历经战乱、身世飘零的感慨；“渔唱”象征闲适、淡然，暗喻超脱世俗的心境，也反衬历史的厚重与世事的喧嚣；“三更”是深夜时分，烘托孤寂、宁静的氛围，暗喻心境的平和与淡然。③作者情感思想：表面抒发对历史往事的感慨，借渔唱的闲适反衬世事的无常，实则抒发历经战乱后的沧桑与淡然，对身世飘零的无奈，以及追求心灵超脱、不恋功名利禄的思想，情感淡远而深沉。
宋词·叶梦得《水调歌头·秋色渐将晚》秋色渐将晚，霜信报黄花,①字面意思：秋天的景色渐渐走向萧瑟，寒霜降临的消息，由盛开的菊花传递而来。②核心意象隐喻：“秋色渐晚”象征时光的流逝、生命的凋零，也暗喻自身年华老去、壮志消磨；“霜信”象征寒冷与困境，暗喻世事的艰难与人生的困顿；“黄花”即菊花，象征高洁、坚贞、不屈不挠的品格，暗喻作者在困境中依然坚守本心的执着。③作者情感思想：借秋日萧瑟之景与菊花报霜的细节，抒发对时光流逝、年华老去的感慨，对世事艰难的无奈，以及在困境中坚守高洁品格、不与世俗同流合污的执着，是典型的“托物言志、借景抒情”。
宋词·朱敦儒《相见欢·金陵城上西楼》金陵城上西楼，倚清秋,①字面意思：我独自登上金陵城的西楼，依偎着栏杆，眺望这萧瑟的清秋景色。②核心意象隐喻：“金陵城”是古代都城，象征昔日的繁华与故国的记忆，暗喻亡国后的残破与沧桑；“西楼”是古典文学中抒发孤寂、愁绪的经典意象，暗喻孤独无依的心境；“清秋”象征萧瑟、凋零，烘托悲凉的氛围，暗喻亡国后的悲凉与身世的飘零。③作者情感思想：表面描写登楼望秋的场景，实则借金陵城楼与清秋之景，抒发亡国后的沉痛、对故国的深切思念，以及身世飘零的孤寂，情感内敛深沉，藏有“登高抒怀、怀古伤今”的内涵。
宋词·吕本中《采桑子·恨君不似江楼月》恨君不似江楼月，南北东西，南北东西，只有相随无别离,①字面意思：我怨恨你，不像江楼之上的月亮，无论我走到南北东西，无论我漂泊到何方，它都始终陪伴着我，没有一丝别离。②核心意象隐喻：“江楼月”象征陪伴、永恒，暗喻作者渴望的真挚情谊与长久相伴；“南北东西”象征漂泊无定的行踪，暗喻自身的漂泊与孤独；“相随无别离”隐喻对陪伴的迫切期盼，反衬现实中的别离之苦。③作者情感思想：表面以月亮为喻，抒发对别离的怨恨与对陪伴的期盼，实则抒发漂泊无依的孤独、对友人（或爱人）的深切思念，以及别离后的愁苦，情感直白却真挚，藏有“借物抒情”的内涵，极易被模型误读为单纯抒情，忽略情感背后的漂泊之苦。
宋词·韩元吉《好事近·汴京赐宴闻教坊乐有感》凝碧旧池头，一听管弦凄切,①字面意思：站在昔日的凝碧池边，一听起教坊的管弦乐曲，心中便涌起无尽的凄切与悲凉。②核心意象隐喻：“凝碧池”是昔日繁华之地的代称，象征故国的繁华与记忆，如今却成为亡国之痛的触发点；“管弦”是宫廷乐曲的象征，暗喻昔日的繁华与今日的残破；“凄切”既写乐曲的悲凉，也隐喻心境的沉痛，暗喻亡国后的悲凉与伤痛。③作者情感思想：借凝碧池与管弦乐曲的场景，抒发对故国繁华逝去的惋惜、对亡国之痛的沉痛追忆，以及身世飘零的孤寂，情感深沉内敛，藏有“怀古伤今、忧国忧民”的内涵。
宋词·陆游《卜算子·咏梅》驿外断桥边，寂寞开无主,①字面意思：在驿站之外、断桥旁边，一株梅花寂寞地开放着，没有人欣赏、没有人呵护，无依无靠。②核心意象隐喻：“驿外断桥”象征荒凉、偏僻、艰难的环境，暗喻作者自身怀才不遇、屡遭排挤的困境；“梅花”象征高洁、坚贞、不屈不挠的品格，暗喻作者自身的高洁与坚守；“寂寞开无主”既写梅花的孤独，也隐喻作者自身孤独无依、不被赏识的境遇。③作者情感思想：借梅花“托物言志”，描写梅花在艰难环境中寂寞开放的姿态，抒发自身怀才不遇、屡遭排挤的愤懑，以及在困境中依然坚守高洁品格、不与世俗同流合污的执着，情感深沉，藏有“怀才不遇却坚守本心”的潜台词。
宋词·辛弃疾《青玉案·元夕》众里寻他千百度，蓦然回首，那人却在，灯火阑珊处,①字面意思：在人群中千百次地寻觅她的身影，忽然间回头望去，却发现她就在那灯火稀疏、冷落寂静的角落。②核心意象隐喻：“众里寻他”隐喻作者对理想、对高洁品格、对报国壮志的执着追求；“灯火阑珊处”象征冷落、偏僻、不被人关注的地方，暗喻作者自身不与世俗同流合污、坚守本心的孤高；“那人”既指心中追寻的人，也隐喻理想、高洁品格与报国壮志。③作者情感思想：表面描写元夕之夜寻觅心上人的场景，实则借场景“托物言志”，抒发对理想的执着追求、对高洁品格的坚守，以及自身不被世俗理解、孤高自守的心境，藏有“众里寻他、终得本心”的深刻内涵，极易被模型误读为单纯的爱情描写。
宋词·陈亮《水调歌头·送章德茂大卿使虏》胡运何须问，赫日自当中,①字面意思：敌人的运势何必去追问呢？我大宋王朝就像正午的太阳，光芒万丈、不可阻挡，终将普照天下。②核心意象隐喻：“胡运”代指敌人的运势，象征外来侵扰的势力，暗喻敌人的腐朽与衰败；“赫日”即正午的太阳，象征大宋王朝的强盛、光明与希望，暗喻作者对国家命运的坚定信心；“自当中”隐喻大宋王朝终将兴盛、收复失地的必然趋势。③作者情感思想：表面抒发对大宋王朝强盛的坚定信心，对敌人运势的不屑，实则抒发对国家命运的深切关怀、对收复失地的强烈渴望，以及自身的报国壮志与爱国情怀，情感激昂豪迈，藏有“忧国忧民、壮志凌云”的内涵。
宋词·张耒《风流子·木叶亭皋下》木叶亭皋下，重阳近，又是捣衣秋,①字面意思：树叶纷纷飘落，落在水边的亭台之下；重阳节渐渐临近，又到了家家户户捣衣、准备过冬衣物的深秋时节。②核心意象隐喻：“木叶”象征秋日的萧瑟、生命的凋零，也暗喻思念之情的绵长；“亭皋”是水边的亭台，象征离别、思念，暗喻对远方之人的牵挂；“重阳”是登高、思乡的传统节日，暗喻思乡之情与团圆之盼；“捣衣”是古典文学中思乡、思人的经典意象，暗喻对远方亲人（或爱人）的思念。③作者情感思想：借秋日木叶、重阳捣衣的景物与习俗，抒发深沉的思乡之情、对远方亲人的思念，以及对团圆的期盼，情感含蓄内敛，藏有“借景抒情、借俗抒情”的内涵。
宋词·晁补之《摸鱼儿·东皋寓居》荒坡断垄，犹忆昔年耕种,①字面意思：荒芜的山坡、断裂的田埂，我依然回忆起当年在这里耕种劳作的时光。②核心意象隐喻：“荒坡断垄”象征荒凉、残破，暗喻世事的变迁、自身境遇的困顿，也暗喻昔日的美好时光一去不复返；“昔年耕种”象征安稳、自在的田园生活，暗喻作者对隐逸生活的向往，以及对过往安稳时光的追忆；“犹忆”二字，隐喻思念之深与怅惘之重。③作者情感思想：借荒坡断垄的残破之景，结合对昔年耕种时光的回忆，抒发对世事变迁、自身境遇困顿的感慨，对过往安稳田园生活的追忆，以及对隐逸生活的向往，情感深沉，藏有“怀旧伤今、淡泊名利”的内涵。
宋词·李之仪《卜算子·我住长江头》日日思君不见君，共饮长江水,①字面意思：我每天都思念着你，却始终见不到你的身影，我们虽然相隔遥远，却共同饮用着这长江的水。②核心意象隐喻：“长江头”“长江水”象征绵长、永恒，暗喻思念之情的深厚与绵长，也暗喻两人之间的牵挂与联结；“日日思君”隐喻思念之深、无休无止；“不见君”暗喻分离的痛苦与无奈；“共饮长江水”以江水为纽带，隐喻两人心意相通、虽隔遥远却心意相连。③作者情感思想：表面抒发对远方之人的思念与分离的痛苦，实则借长江水的意象，抒发深沉、绵长的思念之情，以及对爱情（或友情）的执着与坚守，情感直白却真挚，藏有“借物抒情、以水传情”的妙处。
宋词·王沂孙《齐天乐·蝉》一襟余恨宫魂断，年年翠阴庭树,①字面意思：满怀的遗恨，如同当年望帝化鹃、魂断深宫一般，年复一年，只能在翠绿的庭院树枝间（鸣叫）。②核心意象隐喻：“蝉”象征高洁、孤苦，也暗喻亡国后的悲凉与自身的孤苦境遇；“宫魂断”借用望帝化鹃的典故，隐喻亡国之痛、身世之悲，也暗喻心中的遗恨与伤痛；“翠阴庭树”象征昔日的繁华与今日的残破，暗喻时光的流逝与世事的变迁。③作者情感思想：借蝉“托物言志”，结合望帝化鹃的典故，抒发亡国后的沉痛遗恨、身世的孤苦与悲凉，以及对故国的深切思念，情感深沉内敛，藏有“借物抒情、借典抒怀”的内涵，极易被模型误读为单纯咏物。
宋词·戴复古《满江红·赤壁怀古》想当时、周郎年少，气吞区宇,①字面意思：回想当年，周瑜年纪轻轻，就意气风发、豪情满怀，有着吞并天下的壮志与气魄。②核心意象隐喻：“周郎”即周瑜，象征年少有为、才华出众，暗喻作者自身的报国壮志与才华；“年少”象征青春、意气风发，暗喻对自身年少壮志的追忆；“气吞区宇”象征豪迈的气魄与收复河山的壮志，暗喻作者对报国杀敌、建功立业的渴望。③作者情感思想：借赤壁怀古，追忆周瑜年少有为的壮举，抒发对自身才华的自信、对报国壮志的执着，以及对当时当权者不作为、自身怀才不遇的愤懑，情感激昂豪迈，藏有“怀古伤今、壮志凌云”的内涵。
宋词·吴潜《水调歌头·焦山》铁瓮古形势，相对立金焦,①字面意思：铁瓮城自古以来就地势险要，与金山、焦山相对而立，气势雄伟。②核心意象隐喻：“铁瓮城”“金山”“焦山”都是地势险要的军事重地，象征国家的屏障，暗喻作者对国家边防的关切；“古形势”象征历史的厚重与世事的变迁，暗喻对历史兴衰的感慨；“对立金焦”以山川的雄伟，隐喻国家的强盛，也暗喻自身的报国壮志。③作者情感思想：借铁瓮城、金山、焦山的雄伟地势，抒发对国家山河的热爱、对国家边防的关切，以及对报国壮志的执着，同时暗含对历史兴衰、世事无常的感慨，情感豪迈而深沉，藏有“忧国忧民、壮志凌云”的内涵。
