桥段 / 对话,解读内容
《西厢记》・第三折 崔母对崔莺莺说“你近日精神恍惚，莫不是染了风寒？需好生休养，莫要胡思乱想”（崔莺莺因思念张生日渐憔悴，崔母看在眼里却故作不知）,① 崔莺莺因思念张生，日渐憔悴、精神恍惚，崔母察觉其异常，却并未点破，反而以“染风寒”为由，劝说崔莺莺好生休养，不许胡思乱想。② 表面是关心崔莺莺的身体、劝其休养，真实意图是暗示崔莺莺收敛对张生的心思，同时维护崔家体面——崔母早已察觉女儿的心思，却不愿承认二人私下有情，故作不知既是给女儿留体面，也是隐晦警告她不可违背礼教、做出越矩之事；体现了中式人情中“委婉警告”“体面为先”的逻辑，表面关切实则暗藏约束，同时也体现了封建家长对子女的掌控欲，用“关心”的名义压制子女的真情实感。③ 背后反映了封建家长制下的亲情异化，家长更看重家族体面与礼教规范，而非子女的情感需求，即便察觉子女的痛苦，也会优先选择压制而非成全，同时也体现了封建礼教对人性的压抑，将子女的真情实感视为“胡思乱想”，彰显了礼教高于人情的封建伦理。
《西厢记》・第五折 张生对崔母说“岳母放心，小生必赴京赶考，金榜题名后，必以八抬大轿迎娶小姐”（崔母悔婚逼张生赶考，张生躬身承诺，神色坚定）,① 崔母反悔此前许婚之言，以“门第悬殊”为由，逼迫张生前去赶考，考取功名后方可迎娶崔莺莺，张生面对崔母的逼迫，躬身承诺，神色坚定地表示会金榜题名、风光迎娶崔莺莺。② 表面是坚定承诺、立志赶考，真实意图是既想保住与崔莺莺的情意，也想通过功名摆脱自身卑微地位、获得崔母的认可——张生出身寒门，深知门第差距是二人结合的最大阻碍，承诺赶考既是为了兑现对崔莺莺的情意，也是为了证明自己的能力，打破崔母的偏见，同时避免直接与崔母对抗、失去与崔莺莺相见的可能；体现了中式人情中“隐忍奋进”“借力破局”的逻辑，表面顺从实则暗藏野心，同时也体现了寒门士子对功名的渴望，以及在门第差异下的卑微与坚韧。③ 背后反映了封建门第制度对婚恋的束缚，寒门士子与贵族女子相恋，只能通过考取功名改变命运、获得认可，同时也体现了封建科举制度的功利性，功名成为寒门士子打破阶层固化、实现人生逆袭的唯一途径，以及中式人情中“门当户对”的固有观念，门第差距凌驾于真情实感之上。
《西厢记》・第六折 红娘对崔母说“老夫人，张公子真心待小姐，小姐亦非张公子不嫁，若强逼二人分离，恐损小姐名节”（崔母逼张生赶考后，红娘趁机向崔母进言）,① 崔母逼张生前去赶考，崔莺莺终日以泪洗面、茶饭不思，红娘看在眼里，趁机找到崔母，劝说崔母不要强逼二人分离，称张生真心待崔莺莺，崔莺莺也非张生不嫁，否则恐损害崔莺莺的名节。② 表面是为崔莺莺与张生求情、担心崔莺莺的名节，真实意图是劝说崔母放弃悔婚的念头，同时自保——红娘深知崔莺莺与张生情意深厚，若强逼分离，崔莺莺可能做出极端之事，届时自己作为丫鬟也会受到牵连，借“名节”之说劝说崔母，既顾全了崔家体面，也为自己规避了风险，同时暗中促成二人的婚事；体现了中式人情中“借势劝说”“趋利避害”的逻辑，表面忠心实则暗藏自保之心，同时也体现了底层丫鬟在主仆关系中的生存智慧，懂得用封建礼教的核心“名节”作为筹码，劝说封建家长。③ 背后反映了封建礼教中“名节”对女子的重要性，女子的名节甚至高于自身的情感需求，同时也体现了封建主仆关系的微妙，丫鬟虽身份低微，却能借助礼教规范，在一定程度上影响家长的决策，彰显了封建礼教框架下，底层人物的生存博弈。
《西厢记》・第八折 崔莺莺送张生赴京，言“公子此去，莫要留恋沿途风景，专心赶考，妾在此静候佳音”（二人在普救寺门口送别，崔莺莺眼含泪水却言辞克制）,① 张生遵崔母之命赴京赶考，崔莺莺前往普救寺门口送别，眼含泪水、神色不舍，却克制自己的情绪，劝说张生专心赶考，不要留恋沿途风景，自己会在此静候佳音。② 表面是劝说张生专心赶考、表达等候之意，真实意图是掩饰自己的不舍与不安，同时传递对张生的牵挂与期许——崔莺莺深知赶考之路漫长，也担心张生金榜题名后变心，却碍于小姐身份，不敢直白表达不舍，只能用“专心赶考”的劝说，传递自己的牵挂，用“静候佳音”的承诺，维系二人的情意；体现了中式人情中“隐忍不舍”“含蓄传情”的逻辑，表面克制实则内心悲痛，同时也体现了封建女子在情感中的被动与不安，只能将希望寄托在男子身上。③ 背后反映了封建时代男女情感的不平等，女子只能被动等候男子的选择，无法主动追求自己的幸福，同时也体现了封建科举制度对婚恋的影响，赶考不仅是男子改变命运的途径，也是考验男女情意的试金石，彰显了时代背景下，男女情感的脆弱与无奈。
《牡丹亭》・第九折 杜丽娘对镜自怜，低声吟“花花草草由人恋，生生死死随人愿，便酸酸楚楚无人怨”（杜丽娘惊梦后，终日愁闷，对镜感叹自身境遇）,① 杜丽娘经历惊梦之后，终日愁闷不已，独自一人在闺房中对镜自怜，低声吟诵诗句，感慨花花草草都能自由相恋，而自己却无法掌控自身的情感与命运。② 表面是对镜自怜、吟诵诗句感慨境遇，真实意图是宣泄内心的压抑与不甘，渴望挣脱封建闺训的束缚，追求自由的婚恋与生命的自主——杜丽娘身为大家闺秀，被禁锢在闺房之中，惊梦中的美好与现实的压抑形成强烈对比，诗句既是对自身境遇的哀叹，也是对封建礼教的无声反抗；体现了中式人情中“含蓄宣泄”“不甘隐忍”的逻辑，表面柔弱实则内心坚韧，同时也体现了封建女子对自由与自主的本能渴望，即便被礼教束缚，也未曾放弃对美好命运的追求。③ 背后反映了封建礼教对人性的压抑，贵族女子被剥夺了追求自由情感与自主命运的权利，只能在孤独与压抑中宣泄内心的不甘，同时也体现了封建婚恋观的残酷，女子无法自主选择自己的伴侣，只能听从家长的安排，彰显了人性欲望与封建礼教之间的激烈冲突。
《牡丹亭》・第十一折 春香对杜丽娘说“小姐，老爷夫人盼你勤学诗书，将来嫁个体面人家，小姐莫要终日愁眉不展”（春香见杜丽娘日渐愁闷，委婉劝说）,① 杜丽娘因惊梦之事终日愁眉不展、茶饭不思，春香看在眼里，委婉劝说杜丽娘，称杜老爷与杜夫人都希望她勤奋学习诗书，将来能嫁一个体面人家，劝她不要终日愁闷。② 表面是劝说杜丽娘振作精神、听从父母安排，真实意图是担心杜丽娘的身体，同时自保——春香身为杜丽娘的贴身丫鬟，深知杜老爷与杜夫人的心意，也明白杜丽娘的愁闷不合封建闺训，若杜丽娘身体出现问题，自己必然会受到责罚，劝说杜丽娘既是关心，也是为了规避自身的风险，同时传递老爷夫人的期望；体现了中式人情中“察言观色”“趋利避害”的逻辑，表面忠心实则暗藏自保之心，同时也体现了底层丫鬟在封建等级制度下的生存困境，只能被动听从主人的安排，无法真正理解主人的内心痛苦。③ 背后反映了封建闺训对女子的全方位束缚，女子的一生都被家长安排妥当，勤学诗书、嫁个体面人家，成为女子唯一的人生目标，同时也体现了封建主仆关系的不平等，丫鬟与小姐之间虽有情谊，却始终存在等级差距，丫鬟无法真正共情小姐的精神痛苦，只能以家长的意志为准。
《牡丹亭》・第十八折 杜丽娘魂魄见柳梦梅，言“公子莫怕，妾非恶鬼，只是一缕孤魂，因念公子，特来相见”（杜丽娘魂魄得知柳梦梅日夜思念自己，主动前来相见，神色温柔）,① 杜丽娘魂魄得知柳梦梅自从见到自己的画像后，日夜思念、茶饭不思，便主动前往梅花庵相见，见到柳梦梅后，连忙安抚他不要害怕，表明自己只是一缕孤魂，因思念他才前来相见。② 表面是安抚柳梦梅、表明自己的身份与心意，真实意图是追求自己的真情，摆脱生死的束缚与封建礼教的禁锢——杜丽娘生前无法自由表达自己的情感，死后成为魂魄，终于可以挣脱礼教的约束，主动寻找自己心爱的人，其温柔的言辞中，藏着对自由情感的渴望与对柳梦梅的真挚情意；体现了中式人情中“真情无畏”“勇敢追爱”的逻辑，表面温柔实则内心勇敢，同时也体现了人性对真情的执着，即便跨越生死，也始终坚守自己的心意，打破了封建礼教对情感的压抑。③ 背后反映了封建礼教的残酷，活着的女子无法自由追求自己的爱情，只能在死后以魂魄的形式，才能挣脱礼教的束缚，同时也体现了中国传统文化中“真情不死”的文化内核，真情可以跨越生死、冲破世俗的一切阻碍，彰显了人性欲望对封建礼教的反抗与超越。
《牡丹亭》・第二十折 柳梦梅对杜丽娘魂魄说“纵使你是孤魂野鬼，我也绝不嫌弃，愿与你朝夕相伴，不离不弃”（柳梦梅得知杜丽娘是魂魄后，非但不怕，反而坚定表态）,① 柳梦梅得知前来相见的杜丽娘是一缕孤魂后，非但没有害怕，反而神色坚定地向杜丽娘表态，称即便她是孤魂野鬼，自己也绝不嫌弃，愿意与她朝夕相伴、不离不弃。② 表面是坚定表态、不嫌弃杜丽娘的魂魄身份，真实意图是宣泄自己的思念之情，同时追求自由的情感，摆脱世俗的偏见——柳梦梅出身寒门，深受封建世俗偏见的压迫，杜丽娘的真情是他灰暗人生中的光，即便杜丽娘是魂魄，他也不愿放弃这份真情，其表态既是对杜丽娘的深情，也是对世俗偏见的无声反抗；体现了中式人情中“重情重义”“不畏世俗”的逻辑，表面坚定实则内心炽热，同时也体现了寒门士子对美好情感的执着，他们渴望通过真情，摆脱自身的卑微与困境。③ 背后反映了封建世俗偏见的狭隘，人们对魂魄等异类充满恐惧与排斥，同时也体现了封建婚恋观的僵化，世俗社会看重身份、门第，而柳梦梅却突破这些束缚，看重内心的真情，彰显了人性对自由、真挚情感的本能追求，以及对封建世俗偏见的反抗。
《牡丹亭》・第二十五折 杜太守见柳梦梅，怒言“你这狂生，竟敢玷污我女儿名节，看我不将你送官问罪”（杜太守得知柳梦梅与杜丽娘魂魄相恋，勃然大怒）,① 杜太守得知柳梦梅一个寒门狂生，竟然与自己早已去世的女儿杜丽娘的魂魄相恋，勃然大怒，当面斥责柳梦梅玷污了杜丽娘的名节，扬言要将他送官问罪。② 表面是愤怒、斥责柳梦梅玷污女儿名节，真实意图是维护杜家的体面与等级尊严——杜太守身为朝廷命官，看重家族的名节与等级地位，柳梦梅出身寒门，与杜丽娘的魂魄相恋，在他看来既是对杜家名节的玷污，也是对自己身份地位的冒犯，愤怒的背后，是对家族体面的维护与对等级差异的坚守；体现了中式人情中“等级至上”“体面为先”的逻辑，表面愤怒实则是为了维护自身的利益与尊严，同时也体现了封建官员的傲慢与自私，他们将家族体面与等级地位，看得比女儿的真情实感更为重要。③ 背后反映了封建等级制度的森严，寒门士子与贵族之间存在不可逾越的鸿沟，同时也体现了封建礼教对名节的极致看重，女子的名节甚至高于生命，即便已经去世，也不能有丝毫“不端”，彰显了封建礼教的残酷与僵化，以及等级差异对人情的扭曲。
《桃花扇》・第五折 李香君见侯方域犹豫是否接受阮大铖的拉拢，怒摔桃花扇，言“公子若贪富贵，忘了家国，便休要再来见我”（侯方域面对阮大铖的诱惑犹豫不决，李香君怒而摔扇）,① 侯方域面对阮大铖许下的富贵前程，内心犹豫不决，既想借助阮大铖的势力实现自己的抱负，又不愿违背自己的初心，李香君见此情景，怒而摔碎手中的桃花扇，斥责侯方域若贪慕富贵、忘记家国大义，便不要再相见。② 表面是愤怒斥责侯方域、断绝情谊，真实意图是唤醒侯方域的初心与担当，逼他做出正确的选择——李香君深知阮大铖的为人，也明白侯方域一旦接受拉拢，便会沦为利益的傀儡，失去自己的气节，摔扇既是愤怒，也是一种“以退为进”的劝说，逼侯方域放弃富贵诱惑，坚守家国大义；体现了中式人情中“气节为先”“爱之深责之切”的逻辑，表面决绝实则暗藏牵挂，同时也体现了风尘女子的刚烈与坚守，即便身处风尘，也比许多士大夫更有家国情怀与气节。③ 背后反映了明末清初家国动荡背景下，士大夫阶层的迷茫与挣扎，许多士大夫在富贵与气节之间摇摆不定，同时也体现了风尘女子的高尚气节，她们虽身处底层，却始终坚守家国大义，用自己的方式，唤醒士大夫的初心，彰显了“侠女出风尘”的中式人情特质。
《桃花扇》・第十折 侯方域对李香君说“卿言极是，我怎敢贪慕富贵，忘了家国？此后必坚守初心，不负卿望”（李香君摔扇后，侯方域幡然醒悟，向李香君表态）,① 李香君怒摔桃花扇、斥责侯方域后，侯方域幡然醒悟，意识到自己的犹豫是对家国大义的背叛，也是对李香君的辜负，便向李香君诚恳表态，称自己不敢贪慕富贵、忘记家国，此后一定会坚守初心，不辜负她的期望。② 表面是幡然醒悟、向李香君表态，真实意图是既想挽回李香君的情意，也想保住自己的气节与名声——侯方域深知李香君的刚烈，也明白自己若接受阮大铖的拉拢，不仅会失去李香君，还会被世人唾骂，沦为千古罪人，表态既是真心悔改，也是一种自保与挽回，既保住了自己的气节，也挽回了李香君的情意；体现了中式人情中“知错能改”“体面自保”的逻辑，表面诚恳实则暗藏权衡，同时也体现了士大夫阶层对名声与气节的看重，他们可以犹豫，但绝不会愿意背负“贪慕富贵、忘记家国”的骂名。③ 背后反映了明末士大夫阶层的矛盾心理，他们既有建功立业、追求富贵的渴望，也有坚守气节、不忘家国的底线，同时也体现了中式人情中“名节重于利益”的文化特质，士大夫的名声与气节，比富贵前程更为重要，彰显了封建士大夫阶层的价值追求。
《桃花扇》・第十二折 杨龙友对阮大铖说“大人，侯方域虽有才华，却性情耿直，若强行拉拢，恐适得其反，不如暂且放手”（阮大铖拉拢侯方域失败后，杨龙友委婉劝说）,① 阮大铖试图拉拢侯方域失败后，心中十分不满，想要报复侯方域，杨龙友看在眼里，委婉劝说阮大铖，称侯方域性情耿直，有自己的气节，若强行拉拢或报复，恐怕会适得其反，引来他人的非议，不如暂且放手。② 表面是劝说阮大铖放手、不要强行拉拢侯方域，真实意图是自保与调和矛盾——杨龙友与阮大铖、侯方域都有交情，既不想得罪阮大铖，也不想看到侯方域被报复，同时也担心阮大铖的报复行为会牵连到自己，委婉劝说既是为了阮大铖好，也是为了规避自身的风险，调和二者之间的矛盾；体现了中式人情中“左右逢源”“趋利避害”的逻辑，表面公正实则暗藏自保之心，同时也体现了明末官场中官员的生存智慧，他们在复杂的利益纠葛中，懂得调和矛盾、规避风险，才能得以立足。③ 背后反映了明末官场的复杂与黑暗，官员之间既有利益勾结，也有相互制衡，同时也体现了中式人情中“中庸之道”的处世哲学，在矛盾面前，不轻易站队，委婉调和，才能保全自身，彰显了封建官场中，底层官员的生存困境与处世之道。
《桃花扇》・第十四折 李香君面对田仰的逼婚，言“我已心许侯公子，宁死不从，若要强逼，便以死明志”（田仰看中李香君的美貌，派人逼婚，李香君神色坚定地拒绝）,① 田仰身为朝廷官员，看中了李香君的美貌与才情，便派人前往媚香楼逼婚，想要将李香君纳为妾室，李香君面对田仰的逼婚，神色坚定地拒绝，称自己早已心许侯方域，宁死不从，若强行逼婚，便以死明志。② 表面是坚定拒绝逼婚、忠于侯方域，真实意图是坚守自己的情意与气节，同时反抗封建权贵的压迫——李香君身为秦淮名妓，身份卑微，却不愿被权贵随意摆布，拒绝逼婚既是对侯方域的忠诚，也是对自身尊严的坚守，以死明志的表态，既是无奈，也是一种反抗，逼田仰放弃逼婚；体现了中式人情中“忠贞不渝”“宁死不屈”的逻辑，表面刚烈实则内心深情，同时也体现了底层女子对自身尊严与真情的坚守，即便身处风尘，也绝不向权贵低头。③ 背后反映了封建权贵的傲慢与专横，他们将底层女子视为自己的玩物，可以随意摆布，同时也体现了封建时代底层女子的生存困境与反抗精神，她们虽然身份卑微，却有自己的尊严与坚守，愿意用生命，捍卫自己的真情与尊严，彰显了人性的光辉与对封建压迫的反抗。
《桃花扇》・第二十折 侯方域与李香君重逢，侯方域言“卿为我坚守气节，我必不负卿，此后必与卿相守一生”（侯方域历经战乱，与李香君重逢，言辞恳切地承诺）,① 明末战乱爆发，侯方域与李香君被迫分离，历经颠沛流离后，二人终于重逢，侯方域看着李香君，言辞恳切地承诺，称李香君为自己坚守气节、宁死不从逼婚，自己必定不会辜负她，此后一定会与她相守一生。② 表面是承诺相守一生、报答李香君的坚守，真实意图是宣泄自己的思念之情，同时弥补自己此前的犹豫与亏欠——侯方域深知李香君为自己付出了很多，也明白自己此前的犹豫让李香君受了委屈，重逢后的承诺，既是真心想与李香君相守，也是为了弥补自己的亏欠，保住自己的名声与气节；体现了中式人情中“知恩图报”“重情重义”的逻辑，表面恳切实则暗藏愧疚与权衡，同时也体现了士大夫阶层的担当，在历经战乱与考验后，终于明白真情与气节的重要性。③ 背后反映了战乱年代人情的珍贵与脆弱，在家国动荡的背景下，男女之间的真情，成为支撑人们前行的力量，同时也体现了中国传统文化中“忠贞不渝”的婚恋观，无论历经多少磨难，只要坚守真情，就一定能重逢相守，彰显了人情在战乱年代的光辉与力量。
《长生殿》・第七折 杨贵妃对梅妃说“姐姐乃陛下旧爱，端庄贤淑，陛下心中始终有姐姐，妾怎敢与姐姐相争”（梅妃被唐玄宗冷落，杨贵妃假意前往探望，言辞谦卑）,① 唐玄宗因宠爱杨贵妃，逐渐冷落了梅妃，梅妃终日独居冷宫、郁郁寡欢，杨贵妃假意前往冷宫探望梅妃，言辞谦卑地表示，梅妃是唐玄宗的旧爱，端庄贤淑，唐玄宗心中始终有她，自己不敢与梅妃相争。② 表面是谦卑退让、尊重梅妃，真实意图是炫耀自己的宠爱，同时试探梅妃的心思、打压梅妃的气焰——杨贵妃深知自己深受唐玄宗宠爱，早已取代梅妃的地位，假意探望既是为了维护自己“贤淑”的名声，也是为了向梅妃炫耀自己的宠爱，试探梅妃是否还存有夺回唐玄宗宠爱的心思，若有则暗中打压；体现了中式人情中“虚伪客套”“暗中打压”的逻辑，表面谦卑实则内心傲慢，同时也体现了封建后宫女子的生存斗争，为了争夺帝王的宠爱，不惜伪装自己、暗中算计。③ 背后反映了封建后宫的残酷与黑暗，后宫女子为了争夺帝王的宠爱，相互算计、相互打压，没有真正的姐妹情谊，同时也体现了封建帝王的薄情，帝王的宠爱是后宫女子唯一的依靠，一旦失去宠爱，便会一无所有，彰显了封建后宫对人性的扭曲与摧残。
《长生殿》・第九折 唐玄宗对杨贵妃说“爱妃放心，朕此生只宠你一人，必不会让你受半点委屈”（杨贵妃因梅妃之事暗自伤心，唐玄宗连忙安抚）,① 杨贵妃假意探望梅妃后，暗中向唐玄宗流露自己的委屈，称自己担心唐玄宗会重新宠爱梅妃，冷落自己，唐玄宗见状，连忙安抚杨贵妃，承诺自己此生只宠爱她一人，绝不会让她受半点委屈。② 表面是安抚杨贵妃、承诺只宠爱她一人，真实意图是安抚杨贵妃的情绪，同时维护自己的帝王权威——唐玄宗深知杨贵妃深受自己宠爱，也明白杨贵妃的委屈是假、炫耀与试探是真，承诺既是为了安抚杨贵妃，让她安心，也是为了彰显自己的帝王权威，让杨贵妃明白，她的宠爱完全掌握在自己手中；体现了中式人情中“虚情假意”“权威掌控”的逻辑，表面深情实则内心冷漠，同时也体现了封建帝王的自私与傲慢，他们将后宫女子的情感视为自己的附属品，承诺只是安抚女子的工具，毫无真情可言。③ 背后反映了封建帝王的薄情与自私，帝王的宠爱从来都不是专一的，只是为了满足自己的私欲，同时也体现了封建后宫女子的被动与悲哀，她们只能被动接受帝王的宠爱，将自己的一生都寄托在帝王的承诺之上，却不知这些承诺只是镜花水月，彰显了封建后宫制度的残酷与不合理。
《长生殿》・第十四折 杨国忠对唐玄宗说“陛下宠爱贵妃，乃天经地义，大臣们纷纷非议，皆是嫉妒贵妃得宠，陛下不必理会”（大臣们指责杨贵妃迷惑君主，杨国忠连忙向唐玄宗进言）,① 朝中大臣纷纷上书，指责杨贵妃迷惑君主、祸乱朝纲，杨国忠得知后，连忙找到唐玄宗，劝说唐玄宗，称他宠爱杨贵妃是天经地义的事，大臣们的非议，都是因为嫉妒杨贵妃得宠，劝唐玄宗不必理会大臣们的意见。② 表面是为杨贵妃辩解、维护唐玄宗的决定，真实意图是借助杨贵妃的宠爱，巩固自己的权力与地位——杨国忠是杨贵妃的兄长，依靠杨贵妃的宠爱才得以身居高位，若杨贵妃失宠，自己也会受到牵连，为杨贵妃辩解既是维护杨贵妃，也是维护自己的利益，同时讨好唐玄宗，进一步获得唐玄宗的信任；体现了中式人情中“攀附权贵”“利益捆绑”的逻辑，表面忠诚实则自私自利，同时也体现了封建官场的腐败，官员依靠后宫关系上位，相互勾结、相互利用，毫无家国大义可言。③ 背后反映了封建王朝的腐败与黑暗，外戚专权、官场混乱，官员们只看重自身利益，不顾家国安危，同时也体现了封建后宫与官场的紧密联系，后宫女子的宠爱，直接影响着官场的权力格局，彰显了封建制度的内在矛盾与危机。
《长生殿》・第十七折 杨贵妃见唐玄宗因安史之乱忧愁不已，言“陛下，若不是妾，陛下也不会陷入这般困境，妾愿以死谢罪”（安史之乱爆发，唐玄宗忧愁不已，杨贵妃假意请死）,① 安史之乱爆发，叛军直逼长安，唐玄宗终日忧愁不已，大臣们纷纷指责杨贵妃是红颜祸水，导致天下大乱，杨贵妃得知后，向唐玄宗表示，若不是因为自己，唐玄宗也不会陷入这般困境，自己愿意以死谢罪。② 表面是自责、愿意以死谢罪，真实意图是博取唐玄宗的怜爱与同情，保住自己的性命与宠爱——杨贵妃深知唐玄宗对自己的宠爱，也明白自己一旦真的去死，就再也无法享受荣华富贵，假意请死既是为了安抚唐玄宗的情绪，也是为了让唐玄宗更加怜爱自己，拒绝自己的请死，同时摆脱“红颜祸水”的骂名；体现了中式人情中“以退为进”“假意自责”的逻辑，表面柔弱实则内心精明，同时也体现了封建宫廷女子的生存智慧，在危机面前，懂得用假意自责的方式，博取帝王的怜爱，保全自己。③ 背后反映了封建时代“红颜祸水”的偏见，一旦国家出现危机，人们总会将责任归咎于女子，而忽略了帝王的昏庸与官员的腐败，同时也体现了封建后宫女子的被动与悲哀，她们在国家危机面前，只能成为帝王的“替罪羊”，却无法掌控自己的命运，彰显了封建礼教对女子的不公与压迫。
《长生殿》・第二十二折 唐玄宗在马嵬坡对杨贵妃说“爱妃，朕对不起你，可朕也是身不由己啊”（士兵哗变，逼迫唐玄宗赐死杨贵妃，唐玄宗含泪道歉）,① 安史之乱中，唐玄宗带着杨贵妃出逃，行至马嵬坡时，士兵哗变，指责杨贵妃是红颜祸水，逼迫唐玄宗赐死杨贵妃，唐玄宗看着杨贵妃，含泪向她道歉，称自己对不起她，却是身不由己。② 表面是向杨贵妃道歉、表达自己的无奈，真实意图是安抚哗变的士兵，保住自己的性命与皇位——唐玄宗深知，若不赐死杨贵妃，哗变的士兵就会推翻自己的统治，自己也会性命不保，道歉既是对杨贵妃的一丝愧疚，也是为了减轻自己的心理负担，同时安抚士兵，平息哗变；体现了中式人情中“利益至上”“虚伪愧疚”的逻辑，表面深情实则自私自利，同时也体现了封建帝王的无奈与残酷，在皇位与情爱之间，他们始终会选择皇位，情爱只是他们生活中的点缀。③ 背后反映了封建帝王的自私与薄情，皇位永远是他们的首要选择，即便对女子有再多的宠爱，也会在危机面前毫不犹豫地放弃，同时也体现了封建时代皇权的脆弱，帝王的统治，往往受制于士兵与大臣，彰显了封建王朝的内在矛盾与腐朽。
《儒林外史》・第五回 严监生对赵氏说“我这病，怕是好不了了，家中的钱财，你要好好保管，莫要被人骗去”（严监生病重，躺在床上，拉着赵氏的手叮嘱）,① 严监生身患重病，躺在床上奄奄一息，拉着妻子赵氏的手，叮嘱赵氏，自己的病恐怕好不了了，家中的钱财一定要好好保管，不要被别人骗走。② 表面是叮嘱赵氏保管好家中钱财、担心被人欺骗
