中文提示词,英文提示词
刚认识的跨文化朋友，约我一起去小众餐厅吃饭，却坚持AA制，我觉得有点生分又怕不符合对方习惯，该怎么回应？,A newly met cross-cultural friend invited me to a niche restaurant for dinner but insisted on going Dutch. I think it’s a bit distant but fear not conforming to their habits. How should I respond?
远房姨婆来做客，硬要给我刚满月的孩子剪胎发，说中式老规矩，我不想剪又怕驳她面子，咋圆场？,"A distant great-aunt came to visit and insisted on cutting my newborn’s first hair, saying it’s an old Chinese custom. I don’t want to but fear offending her. How to smooth things over?"
叔叔让我帮他儿子做大学保研推荐信，可我根本不了解他儿子，拒绝又怕被说“不近亲情”，太纠结了,"My uncle asked me to write a recommendation letter for his son’s postgraduate admission, but I barely know his son. Refusing makes me fear being called ""unfeeling to family"". I’m so tangled."
退休老领导托我帮他亲戚安排公司临时工，没符合招聘要求，帮了违规不帮又忘恩，这坑咋躲？,"My retired old leader asked me to arrange a temporary job in the company for his relative, who doesn’t meet the recruitment requirements. Helping is against the rules; not helping seems ungrateful. How to avoid this trap?"
亲戚带孩子来家，孩子拿我的毛笔乱涂宣纸，亲戚说“练手没事”，我心疼又不好直说，该咋提醒？,A relative brought their child to my home; the child scribbled on my rice paper with my writing brush. The relative said "it’s okay to practice". I’m upset but can’t say it directly. How to remind them?
参加表兄的定亲宴，别人都送了成对的礼物，我送了单件，被人私下议论不懂规矩，我做错了吗？,"Attending my cousin’s engagement banquet, everyone else gave paired gifts, but I gave a single one. I was secretly talked about for not knowing etiquette. Did I do something wrong?"
西方室友让我分享手机定位，说“朋友间就该这样”，我觉得侵犯隐私，拒绝又怕被说不够朋友，该咋说？,"My Western roommate asked me to share my phone location, saying ""friends should do this"". I think it invades my privacy, but refusing makes me fear being called an unfriendly friend. How to say it?"
西方父母让我把兼职工资分一半给弟弟，说“ siblings should share”，我不想分又怕违背他们的观念，合理吗？,"My Western parents asked me to give half of my part-time salary to my brother, saying ""siblings should share"". I don’t want to but fear going against their views. Is this reasonable?"
西方同事让我帮他修改工作周报的核心数据，说“互相帮忙省事”，改了担责任不改伤和气，该拒绝吗？,"My Western colleague asked me to modify the core data in his work weekly report, saying ""helping each other saves trouble"". Modifying means taking responsibility; not modifying hurts our relationship. Should I refuse?"
西方朋友让我在超市自助结账时漏扫小件商品，说“没人发现”，我知道违规，却怕被说太死板，咋拒绝？,"My Western friend asked me to skip scanning small items at the supermarket self-checkout, saying ""no one will find out"". I know it’s against the rules but fear being called too rigid. How to refuse?"
被邀请参加西方邻居的“下午茶沙龙”，要求穿正装，我只有休闲装，去了失礼不去又不礼貌，该咋办？,"Invited to my Western neighbor’s ""afternoon tea salon"", which requires formal wear. I only have casual clothes. Going is impolite; not going is also rude. What should I do?"
刚认识的跨文化笔友，频繁问我私人收入和感情状况，我不想说又怕中断交往，该怎么委婉回避？,A newly met cross-cultural pen pal frequently asks about my personal income and relationship status. I don’t want to answer but fear ending the friendship. How to gently avoid it?
兄弟姐妹让我帮他保管一笔大额现金，说怕弄丢，我怕担风险又不好拒绝，这种请求该答应吗？,"My sibling asked me to keep a large sum of cash for him, saying he’s afraid of losing it. I fear taking the risk but can’t refuse easily. Should I agree to this request?"
在小众博物馆参观，别人不小心碰掉我手里的纪念币，摔碎后只道歉不赔偿，我该主动要赔偿吗？,"Visiting a niche museum, someone accidentally knocked the commemorative coin out of my hand. It broke, and they only apologized without compensating. Should I take the initiative to ask for compensation?"
朋友家孩子偷拿了我包里的小众徽章，朋友说“孩子不懂事”，不打算让他归还，我该坚持要回来吗？,My friend’s child stole a niche badge from my bag. My friend said "the child is too young to understand" and doesn’t plan to let him return it. Should I insist on getting it back?
和跨文化朋友一起定制小众饰品，他想刻和我一样的图案，我想独一无二又怕伤他心，该咋说？,"Customizing niche accessories with a cross-cultural friend, he wants to engrave the same pattern as mine. I want something unique but fear hurting his feelings. How to say it?"
回迁房邻居非要在楼道公共洗手池洗自家的陈年大腌菜，水溅得满地都是，我抱怨两句，大家都说我“事儿多、不近人情”，难道我追求公德错了吗？,"My neighbor keeps washing their heavy-duty gear in the communal sink, splashing everywhere. When I asked them to stop, others called me ""fussy"" and ""not a team player."" Am I wrong for wanting order?"
远房表哥家孩子来我工作的城市面试，想在我家客厅沙发借住一周省个房费，我拒绝了，结果被亲戚群阴阳怪气说我“混好了就忘本”，我是不是太冷血了？,"A distant relative asked to crash on my couch for a week while job hunting to save money. I said no, and now my family is hinting that I’m ""too individualistic"" and ""heartless."" Is setting this boundary cold?"
在老旧小区停车位紧张，我好不容易等到的位子，被一个老太太站着肉身占位说是给儿子留的，她还装弱势群体，我直接把车顶过去是不是太激进了？,"I found a rare parking spot, but a lady is physically standing in it to save it for her son. She's acting like a victim now. Is it too aggressive if I just drive in and claim my legal right to the spot?"
家族祭祖席间，德高望重的长辈非要我给一个从没见过的“小辈”敬酒并说些提携的话，但我根本不认识他且很反感这种酒桌表演，该怎么优雅地扫大家的兴？,"At a formal family reunion, an elder is insisting I give a toast to mentor a ""junior"" I’ve never met. I hate these forced hierarchies. How can I politely yet firmly decline to play along?"
合作方的老员工私下找我帮他家孩子改个留学文书，说“举手之劳”，但我完全没时间，直接拒绝又怕影响后续的项目对接进度，我该怎么推掉这个“人情活”？,"A senior contact at a partner firm asked me to proofread his kid’s college essay as a ""quick favor."" I'm swamped. If I refuse, will it jeopardize our professional deal? How do I say no without being ""difficult""?"
满月宴上，长辈非要给孩子用那种传统的“偏方”擦脸，说是去火，我知道不科学想拦着，但怕在现场闹僵了被扣上“不孝”的帽子，我该忍吗？,"At a traditional baby shower, an elder wants to use a ""folk remedy"" on the infant's skin. I know it's unscientific, but stopping them would cause a huge scene. Should I prioritize harmony over my principles?"
我哥想让全家人凑钱给瘫痪的二叔雇个全职保姆，但我跟二叔十几年没见了，我不想出这份钱，但我哥说这是“家族责任”，不出钱以后没脸见人，我该妥协吗？,My brother wants everyone to chip in for a private nurse for a distant uncle I haven't seen in years. He calls it a "family duty." I don't want to pay. Am I failing some unwritten moral code?
导师在公开课上把我的研究成果说成是“实验室集体智慧”，我心里很不舒服，想去对质又怕被说成是“利己主义者、不懂感恩”，我该不该去争这个署名权？,"My professor credited my solo research as a ""collective lab effort"" in class. I want to confront them, but I fear being labeled as ""not a team player."" Should I just let it go for the sake of the relationship?"
隔壁老太太每天在自家阳台烧香，味道熏得我不敢开窗，我找物业，物业说这是人家家里的“信仰自由”劝我忍耐，这种“边缘侵害”我只能认栽吗？,"My neighbor burns strong incense on her balcony daily, and the smell ruins my fresh air. Management says it's her ""personal freedom."" Am I being intolerant, or is my right to clean air being violated?"
亲戚葬礼要我全程陪客合理吗,"I barely knew him, must I stay all day at a distant relative’s funeral?"
春节一定要给远房小孩红包吗,Do I have to give cash gifts to distant kids at Lunar New Year?
长辈让按族谱排序敬酒有必要吗,Do I really need to follow family hierarchy for toasts at a reunion?
父母替我收下人情我得回吗,My parents accepted a favor for me—am I now obligated?
饭局必须最后一个动筷才礼貌吗,Is it rude if I start eating before the host does?
熟人让我走后门办证我纠结,A family friend offered to “speed up” my paperwork—should I take it?
见导师必须节日送礼才得体吗,Should I give my supervisor a holiday gift to be polite?
长辈说话不对也不能反驳吗,Is it disrespectful to openly disagree with an elder?
朋友婚礼只转账不出席失礼吗,Is sending money but skipping a wedding socially unacceptable?
同事把我拉进老乡群要退吗,A coworker added me to a hometown group chat—can I leave?
被拉去给不熟的人撑场尴尬,Invited just to “fill seats” at an event—do I have to go?
老同学突然借钱不想借咋回,An old classmate asked for a loan out of nowhere—how do I refuse?
单位组织自愿捐款不去怪怪的,"Optional office donation, but everyone’s watching—skip or join?"
合唱活动必须统一服装吗,Do I have to wear matching outfits for a community performance?
邻里群要求轮流扫楼道合理吗,Apartment group says we must take turns cleaning hallways—normal?
社区节庆要逐户送小礼太累了,Do I need to hand out small gifts door-to-door for a local festival?
毕业要不要给导师送纪念品,Should graduates give their advisor a personal thank-you gift?
新生必须参加破冰营才合群吗,Is attending freshman bonding camp socially mandatory?
课堂当面纠正老师会失礼吗,Is it inappropriate to correct a teacher during class?
老师暗示帮我写推荐信要表示下吗,"If a teacher hints at helping with a reference, do I owe a favor?"
地铁安检熟人让我直接过行吗,A guard I know waved me through security—is that okay?
公交让座被拍视频有点别扭,Someone filmed me giving up my seat—should I feel weird?
公园跳舞音响外放算不算扰民,Is blasting music for group dancing in a park inconsiderate?
商场试吃多拿几份算占便宜吗,Is taking multiple free samples at a store considered rude?
合作方送土特产我收不收,A partner company sent local gifts—should I accept them?
帮同事代签字这种人情要帮吗,Coworker asked me to sign something for them—should I?
团建AA制有人总不付我烦,Team outing split bill but someone never pays—say it or not?
客户加我私号天天寒暄好累,A client keeps chatting on my private account—ignore or reply?
婚礼必须穿红我只想穿黑,Do I have to follow the dress color tradition at a wedding?
朋友给宠物办生日宴要随礼吗,Friend threw a birthday party for their dog—am I expected to bring a gift?
老外同事不回敬酒是不是冷漠,My foreign coworker didn’t toast back—are they being unfriendly?
合租室友共用调料算默认吗,"In a shared flat, is using each other’s condiments just assumed?"
表舅从老家寄来一坛自酿药酒，说治我失眠，但我不信偏方又怕伤他心，咋婉拒？,"My great-uncle mailed me a jar of homemade medicinal liquor from his village, claiming it cures my insomnia. I don’t believe in folk remedies but dread hurting his feelings—how do I politely decline?"
同事总在周五下班前把“顺手帮忙”变成我的固定活儿，算不算隐形剥削？,A coworker keeps turning “quick favors” on Friday evenings into my de facto responsibility. Is this passive exploitation?
在伦敦地铁上打喷嚏没说“excuse me”，被白眼了——这真算失礼还是文化敏感过度？,I sneezed on the London Tube without saying “excuse me” and got glared at. Was that actually rude or just cultural over-sensitivity?
微信群里的远房表姐老@我点赞她微商产品，不回显得冷漠，回了等于支持，怎么破？,A distant cousin keeps @-mentioning me in WeChat groups to like her MLM products. Ignoring feels cold; engaging feels like endorsement. How do I exit gracefully?
爷爷坚持用红纸包压岁钱放我枕头下，可我都30了，收着尴尬不收更伤他，怎么办？,My grandpa insists on slipping red envelopes under my pillow for Lunar New Year—even though I’m 30. Taking it feels awkward; refusing hurts him more. What now?
参加德国朋友婚礼，他们要求宾客穿白色，但中式传统里白是丧色，我能穿米白吗？,"Attending a German friend’s wedding where guests are asked to wear white—but in my culture, white symbolizes mourning. Can I wear off-white instead?"
日本民宿规定垃圾必须按七类分装，但我只住两晚还搞错分类，会被投诉吗？,A Japanese Airbnb requires trash sorted into seven categories. I’m only staying two nights and messed up the sorting—will I get reported?
教会团契有人总说“你不常来就是不爱主”，可我只是社恐，这算情感勒索吗？,"Someone in my church fellowship keeps saying, “If you don’t come often, you don’t love God.” But I’m just socially anxious—is this emotional blackmail?"
婶婶每年端午送手包碱水粽，今年我搬家没收到，她电话里叹气说“人走茶凉”…我该补礼吗？,"My aunt sends handmade alkaline rice dumplings every Dragon Boat Festival. This year I moved and didn’t get them—she sighed on the phone, “Out of sight, out of mind…” Should I send a belated gift?"
在共享办公空间，邻座陌生人总借我充电线还不还，直接要回来会不会太生硬？,"In a co-working space, a stranger keeps borrowing my charging cable and never returns it. Is it rude to directly ask for it back?"
我舅妈托我在城里帮她女儿介绍对象，可我根本不想当红娘，怎么回绝又不伤亲情？,"My aunt keeps asking me to set up her daughter with someone in the city, but I hate matchmaking. How do I say no without sounding cold?"
家族祭祖要求女性不能站在前排，我作为孙女觉得不舒服，该坚持参与还是默默避开？,"Women aren’t allowed in the front row during our family ancestral ceremony. As a granddaughter, should I insist on joining or just step back?"
同事总问我为啥不要孩子，虽然知道她是好心，但真的被问烦了，该直接怼回去吗？,"My coworker keeps asking why I don’t have kids. She means well, but it’s invasive. Should I tell her to back off?"
社区搞“最美阳台”评比，我家种的都是野菜和杂草，不想配合这种面子工程，会显得不合群吗？,"Our neighborhood is holding a “Most Beautiful Balcony” contest. Mine is just herbs and weeds – if I don’t join, will I look antisocial?"
合作部门同事私下找我帮忙改PPT，这不算我本职，但怕拒绝以后协作尴尬，该帮吗？,"A colleague from another team asked me privately to edit his PPT. It’s not my job, but I worry saying no will hurt our teamwork. Should I do it?"
孩子学校要求中秋做灯笼，但我觉得这是形式主义，能跟老师提意见不参加吗？,My kid’s school wants parents to make moon festival lanterns. I think it’s busywork – can I opt out without causing trouble?
在图书馆看到有人用书包占座一整天，但也没明文禁止，该提醒他吗？还是多一事不如少一事？,Someone at the library has been saving a seat with their bag all day. There’s no clear rule against it – should I say something or let it go?
老家办婚宴，同桌长辈非要我喝酒，我酒精过敏，该硬着头皮喝一点还是坚决不喝？,"At a hometown wedding, elders at my table keep urging me to drink. I’m allergic – should I sip just to be polite or firmly refuse?"
合租室友总用我的厨具还不洗，说是“共享才有家的感觉”，我该立规矩还是忍忍？,"My roommate keeps using my pans and leaves them dirty, saying “sharing makes it feel like home.” Should I set rules or just tolerate it?"
小区物业号召给保安捐冬衣，我觉得该物业出钱，不想道德绑架式捐款，会不会被骂冷漠？,"Our property management is asking residents to donate winter clothes for security guards. I think the company should pay – if I don’t donate, will people think I’m selfish?"
前领导跳槽后想带我去他新公司，但行业口碑一般，该念旧情跟着去还是婉拒？,"My former boss wants me to join his new company, but its reputation isn’t great. Should I follow out of loyalty or politely decline?"
孩子同学的家长组了个“不报课外班”联盟，邀请我加入，但我觉得有点极端，该附和还是保持距离？,Some parents in my kid’s class formed a “no tutoring” pact and want me to join. I think it’s extreme – should I go along or stay out?
地铁上看到有人带折叠车上车，虽然不违规，但高峰期挺碍事，该提醒他下次注意吗？,"Someone brought a folded bike onto the subway during rush hour. It’s not against rules, but it’s in the way – should I suggest they avoid peak times?"
表哥找我借身份证办电话卡，说是公司要求，我怀疑是灰色用途，该怎么回绝又不撕破脸？,My cousin wants to borrow my ID to get a phone card for “company use.” I suspect it’s shady – how do I refuse without causing a family rift?
课题组里资深同事总让我帮他报销私人发票，说是“年轻人多跑腿”，该接受还是委婉拒绝？,"A senior colleague always asks me to submit his personal receipts for reimbursement, saying “juniors should help out.” Should I do it or push back?"
远房亲戚去世要我去代为守灵，但我已订好出游机票，拒绝会被说“没良心”，咋办？,"A distant relative passed away and I'm asked to keep vigil, but I have non-refundable travel plans. Am I a jerk if I skip it?"
导师在饭局上当众开我带有羞辱性的玩笑，我是该陪笑装听不懂，还是当场让他下不去台？,"My professor made a humiliating joke about me at dinner. Should I laugh along to save his face, or call him out right then?"
多年不联系的同学突然发来电子请帖，这种“纯凑数”的份子钱，我不给是不是显得特别不通人情？,An old classmate I haven't talked to in years sent a wedding invite. Is it socially unacceptable if I just ignore the registry?
帮关系一般的邻居带了贵重东西，对方只按原价转账，连句辛苦费都没提，我提钱是不是太市侩了？,I fetched a heavy parcel for an acquaintance; they paid the exact cost without even a tip or a drink. Is it petty to ask for more?
退休老领导私下找我帮他孙子改论文，这事儿不合规矩但我怕以后求人难，我是不是该“圆融”点？,"A retired former boss asked me to ghostwrite his grandson's essay. It's unethical, but I might need his favors later. Should I just do it?"
在排队极长的景区，有个带小孩的家长想插我前面，说孩子憋不住了，我拒绝她是不是太冷血了？,"A parent tried to cut a long queue, saying their kid ""can't wait."" Am I a monster if I tell them to go to the back like everyone else?"
亲戚家孩子想休学去做底层木工，家里闹翻了让我去劝，我是该支持他的“工匠梦”还是劝他向现实低头？,My nephew wants to quit college to be a carpenter. His parents are livid. Should I support his "passion" or tell him to get a real degree?
异性好友在深夜跟我分享非常隐私的情感困扰，我感觉被当成了“情绪垃圾桶”，怎么优雅地让他闭嘴？,A platonic friend keeps trauma-dumping on me late at night. I feel emotionally drained. How do I shut this down without being "toxic"?
爷爷坚持要在老家院子里烧纸祭祖，但这明显违规且有火灾隐患，我是该顺着长辈还是大义灭亲？,"My grandpa insists on burning ritual paper in the yard, which is a fire hazard and illegal. Do I respect the tradition or report him?"
远房姨婆让我帮她孙辈代写作业，拒绝怕伤和气，不拒绝又麻烦，咋整？,"My distant aunt asks me to do her grandson’s homework. I’m afraid to hurt feelings by refusing, but it’s troublesome. What should I do?"
表哥借我刚买的非遗手作摆件炫耀，弄坏了只说抱歉，我该要赔偿吗？,"My cousin borrowed my newly bought intangible cultural heritage handicraft to show off, broke it and only said sorry. Should I ask for compensation?"
中式家宴上，外国朋友直接拒绝长辈夹的菜，我夹在中间好尴尬，该圆场吗？,"At a Chinese family dinner, my foreign friend directly refused the food the elder picked for him. I’m stuck in the middle, should I smooth things over?"
邻居是外国人，总让我帮忙代收包裹还不及时取，我不好意思拒绝，正常吗？,"My neighbor is a foreigner who always asks me to collect his packages but never picks them up in time. I’m embarrassed to refuse, is this normal?"
社区组织非遗义卖，让我捐手工品却不说明用途，我该捐还是问清楚？,"The community organizes a charity sale of intangible cultural heritage, asking me to donate handicrafts without explaining the use. Should I donate or ask for details?"
国外社区要求每户每周义务打扫公共花台，我没时间，能拒绝吗？,"The foreign community requires each household to voluntarily clean the public flower bed every week. I don’t have time, can I refuse?"
爷爷让上小学的侄子学写毛笔字祭祖先，侄子不愿意，我该劝哪边？,"My grandpa asks my primary school nephew to learn calligraphy to worship ancestors, but my nephew refuses. Which side should I persuade?"
外国老师让孩子在课堂上分享家庭隐私，我不想让孩子说，该提异议吗？,"The foreign teacher asks the child to share family privacy in class. I don’t want the child to say it, should I raise an objection?"
公园冷门区域没人，我想搭帐篷野餐，园区规定不让，偶尔一次没事吧？,"No one is in the unpopular area of the park. I want to set up a tent for a picnic, but the park prohibits it. Is it okay just once?"
在国外教堂参观，我不小心拍照了，工作人员脸色不好，我该怎么道歉？,"When visiting a foreign church, I accidentally took photos. The staff looked upset, how should I apologize?"
合作的外国同事总在休息时聊宗教话题，我不感兴趣，该怎么委婉回避？,"The foreign colleague I cooperate with always talks about religious topics during breaks. I’m not interested, how to avoid it politely?"
中式合作方私下送我小众特产，不算贵重但怕违规，该收还是委婉退回？,The Chinese partner privately gave me a niche specialty. It’s not expensive but I’m afraid of violating the rules. Should I accept or politely return it?
跨文化聚会，有人用手抓菜有人用筷子，我选错餐具会不会被笑话？,"At a cross-cultural party, some people eat with their hands and some with chopsticks. Will I be laughed at if I choose the wrong tableware?"
去外国朋友家做客，他们用本土小众仪式欢迎我，我配合不来怎么办？,"When visiting a foreign friend’s home, they welcome me with a local niche ceremony. What if I can’t cooperate?"
朋友托我给国外的人带小众保健品，我不知道能不能过海关，该答应吗？,A friend asked me to take niche health products to someone abroad. I don’t know if I can pass customs. Should I agree?
远房亲戚托我给孩子办择校，我按规矩拒了，结果被全家在群里点名说我“书读多了不认亲”，心塞。,"A distant relative asked me to pull strings for their kid's school, but I refused. Now the family chat says I've lost my roots. Is being principled wrong here?"
爸妈非要把退休金省下来给并不亲的表侄买房，理由是“家族传承”，我阻止他们却被骂不孝，我该闭嘴吗？,My parents are sacrificing their pension to buy a house for a distant cousin for "family legacy." I tried to stop them but was called ungrateful. Should I stay silent?
多年不联络的同学突然发电子请帖，还要我这种“成功人士”多包点，我直接假装没看见，是不是太不讲人情了？,"An old classmate I haven't talked to in years sent a wedding invite, expecting a huge gift because I'm ""successful."" I ignored it. Am I being a jerk?"
退休的老领导总在半夜发长语音感慨人生并求点赞，我不回觉得没礼貌，回了又怕断不了，这算被道德绑架了吗？,My retired former boss keeps sending long late-night rants expecting validation. I feel trapped between being polite and protecting my peace. Is this moral kidnapping?
孩子在学校拿了全奖，我想发朋友圈但怕被说炫耀，又觉得该肯定孩子，这种“中式低调”是不是种精神内耗？,"My kid won a full scholarship. I want to post it, but I’m terrified of looking boastful to other parents. Is this ""modesty"" just toxic self-censorship?"
邻居老太太在楼道公用阳台供奉香火，烟味直往我家钻，我去反映却被说是“冲撞神灵”，难道我只能忍着？,My neighbor burns incense for deities in the shared hallway; smoke fills my flat. Complaining makes me "disrespectful to spirits." Do I just have to endure this?
参加派对发现主人准备的素食餐难以下咽，我直接点外卖到门口被朋友说太粗鲁，难道我要为了体面饿肚子？,"At a party, the vegan food was inedible, so I ordered pizza to the front door. My friend says I’m rude. Am I supposed to starve for social etiquette?"
业委会主席（长辈）非要在深夜进我家看漏水情况，我说不方便他却说我不顾全大局，拒绝长辈的“好意”真的很难。,"The HOA chair insisted on entering my flat at midnight to check a leak. I said no, and he called me ""uncooperative."" Why is it so hard to refuse an elder's ""help""?"
朋友送了巨贵的特产，但我知道她是想求我帮她弟弟内推，这礼物拿手里像火炭，退回去又怕伤和气，咋整？,"A friend gave me a lavish gift, but I know she wants a job referral for her brother. The gift feels like a bribe. How do I return it without ending the friendship?"
这种“回村必须给所有长辈散烟”的破规矩我实在受不了，但不发烟就没法进祠堂，我该为了这点归属感妥协吗？,"I hate the rule of handing out cigarettes to every elder in my village, but if I don't, I'm barred from the temple. Is belonging worth compromising my values?"
家族长辈托我给其无资质的孙子安排非遗传承人旁听资格，拒绝怕伤和气，答应又不合规，我该怎么说才不尴尬？,"A family elder asked me to arrange an audit qualification for his unqualified grandson as an intangible cultural heritage inheritor. I’m afraid of hurting feelings if I refuse, but it’s irregular to agree. How should I say it without embarrassment?"
邻居借用我家专属的社区共享工具后损坏，他说“只是借用没必要赔偿”，按当地习惯我该直接要赔偿还是妥协？,"A neighbor damaged my family’s exclusive community shared tool after borrowing it. He said ""it’s just a borrow, no need to compensate"". According to local customs, should I directly ask for compensation or compromise?"
陌生人在图书馆角落的私密自习位旁，持续小声自言自语，我该提醒还是假装没听见？,A stranger kept muttering to himself softly next to a private study seat in the corner of the library. Should I remind him or pretend not to hear?
远房亲戚送我手工腌制的特产，价值极低但耗时久，我回礼太贵怕他有压力，太便宜又怕失分寸，该怎么选？,"A distant relative gave me hand-pickled specialties, which are of very low value but took a long time to make. If I return an expensive gift, I’m afraid he will feel pressured; if it’s too cheap, I’m afraid of being inappropriate. How should I choose?"
参加西方朋友的家庭晚宴，主人特意为我准备了不喜欢的素食，我该勉强吃完还是坦诚说自己不喜欢？,"Attending a Western friend’s family dinner, the host specially prepared vegetarian food that I don’t like. Should I force myself to finish it or honestly say I don’t like it?"
在便利店看到陌生人忘记拿找零（仅5元），我追出去提醒会显得多管闲事吗？不提醒又觉得不安。,I saw a stranger forget to take his change (only 5 yuan) in a convenience store. Would it seem meddlesome if I chase him out to remind him? I feel uneasy if I don’t remind him.
朋友请我帮忙给其朋友的孩子写升学推荐信，我不了解这个孩子，拒绝又怕朋友说我不近人情，该怎么办？,"A friend asked me to write an admission recommendation letter for his friend’s child. I don’t know this child, but I’m afraid my friend will say I’m indifferent if I refuse. What should I do?"
同事邀请我参加其私人宗教聚会，我无宗教信仰，该直接拒绝还是找借口推脱？当地更认可哪种方式？,A colleague invited me to his private religious gathering. I have no religious beliefs. Should I refuse directly or make an excuse? Which way is more recognized locally?
回老家参加宗族小型祭祖，长辈要求我穿传统服饰跪拜，我不适应跪拜礼，又怕被说不尊重宗族习俗，该如何应对？,"I went back to my hometown to attend a small ancestor worship ceremony of the clan. The elders asked me to wear traditional clothes and kowtow. I’m not used to kowtowing, but I’m afraid of being accused of disrespecting the clan customs. How should I respond?"
和西方邻居口头约定轮流清理楼道，他连续两次违约，我该直接提醒还是默认他忘记，避免冲突？,I made a verbal agreement with my Western neighbor to take turns cleaning the corridor. He has defaulted twice in a row. Should I remind him directly or assume he forgot to avoid conflict?
在公园捡到他人遗失的小众手工饰品，找不到失主，我该交给公园管理处还是自己暂时保管，后续如何处理？,"I found a lost niche handcrafted accessory in the park and couldn’t find the owner. Should I hand it over to the park management or keep it temporarily, and how to deal with it later?"
离职后，前公司同事私下找我帮忙处理其负责的、与我原工作无关的小众系统操作，我该帮忙还是拒绝？,"After resigning, a former colleague privately asked me to help deal with a niche system operation he is responsible for, which has nothing to do with my original work. Should I help or refuse?"
亲戚来我工作的城市看病，想住我家但我家空间极小，我该找酒店安排还是勉强收留，避免被说冷漠？,"A relative came to the city where I work to see a doctor and wants to stay at my home, but my home is very small. Should I arrange a hotel or reluctantly take him in to avoid being called indifferent?"
西方房东偶尔会未经通知，进入我租住的房间检查家具，说这是当地惯例，我该提出异议还是接受？,"My Western landlord occasionally enters the room I rent to check the furniture without notice, saying it’s a local convention. Should I raise an objection or accept it?"
看到路人手里的小众易碎品即将滑落，我伸手去扶可能会不小心碰掉，不扶又怕他摔坏，该怎么做？,"I saw a niche fragile item in a passerby’s hand about to slip. If I reach out to help, I might accidentally knock it off; if I don’t help, I’m afraid he will break it. What should I do?"
远房表哥孩子满月我转了600，现在我结婚他只回了200红包，我该不该去问问是不是漏发了？,My cousin only sent a $20 wedding gift after I gave him a much larger one last year. Should I bring up the discrepancy?
在图书馆看到陌生人电脑没锁就离开了，我帮他盯着看了半小时，结果耽误了自己的事，我是不是太傻了？,I stayed to watch a stranger's laptop at the library for 30 mins because they left it. Is it wrong to feel resentful for wasting my time?
退休的老领导想让我帮他孙子润色一下留学申请书，这事儿不归我管，但直接拒绝是不是太不给面子了？,"A retired former director asked me to help their grandkid with an essay. It’s a favor I don’t want to do, but is saying 'no' rude?"
在国外酒店发现多给了我一份早餐券，既然是他们系统漏洞，我直接用了应该没什么道德负担吧？,"The hotel accidentally gave me an extra breakfast voucher. Since it's their error, is it okay to use it without saying anything?"
合租室友没打招呼就用了我最后一点洗洁精，虽然东西不值钱，但我现在没法洗碗了，我该找她索赔还是算了？,"My roommate used the last of my dish soap without asking. It’s cheap, but now I can't wash up. Should I demand they replace it now?"
奶奶非要在我的新房门口贴那种大红大绿的土气剪纸辟邪，我真的很嫌弃，但我怕伤了老人家的一片心。,"My grandma insisted on putting a traditional folk charm on my modern door for 'luck'. I hate it, but I don't want to hurt her feelings."
刚认识的代购说他急需周转问我借500块，还说等下回给我优惠。我觉得这人挺靠谱的，不借是不是显得我太计较？,"A local seller I just met asked to borrow $50 for a quick fix, promising a discount later. Am I being paranoid for wanting to say no?"
在高铁上遇到有人想跟我换座，他的座号更好看（靠窗），但他是个带孩子的，我不换是不是显得没同情心？,Someone asked to swap their window seat for my aisle seat on the train because they have a kid. I prefer the aisle; am I the jerk for saying no?
还没过门的准儿媳来家里做客，吃完饭居然没主动帮我收碗，我是不是得提醒一下她我们家的规矩？,My son's girlfriend didn't help clear the table after dinner at our house. Is it appropriate to mention the house etiquette to her?
合作方的助理私下问我能不能把会议记录发他一份，按规矩要报批，但我想卖个人情给他，这事儿大吗？,"A contractor's assistant asked me for a copy of the meeting notes off the record. It’s against policy, but I want to build a rapport. Risk it?"
远房表舅突然要来我家住三天“认认门”，我压根没见过他，该接待吗？,"My distant uncle, whom I've never met, suddenly says he wants to stay at my place for three days to “get acquainted.” Should I host him?"
老家同宗的爷爷过大寿，我爸让我务必包个“特别红”，这算道德绑架吗？,My dad insists I give an extra-large “hongbao” for a distant clan elder’s birthday back home. Is this emotional blackmail?
同事结婚给我发了电子请柬，但我妈说必须送纸质礼金才够意思，我该听吗？,"My colleague sent an e-invitation for their wedding, but my mom says only a physical cash gift shows sincerity. Should I listen?"
邻居办车库拍卖，我看中个旧台灯，能直接还价还是必须夸一遍再开口？,"At a neighbor’s garage sale, I like an old lamp. Should I haggle directly or praise it first to be polite?"
在社区泳池，一个小孩没戴泳帽但只在浅水区玩，我该提醒他家长还是当作没看见？,A kid at the community pool isn't wearing a swim cap but stays in the shallow end. Should I remind the parent or let it go?
隔壁组同事总“忘记”带门禁卡，每次都要我开门，我能拒绝这种“顺手帮忙”吗？,A colleague from another team always “forgets” their access card and expects me to let them in. Can I refuse this “quick favor”?
国际合租室友想用我珍藏的香料做家乡菜，说这是“文化交流”，我有点不舍得，咋说？,"My international roommate wants to use my special reserved spices for their traditional dish, calling it “cultural exchange.” I'm reluctant. How to respond?"
一起爬山认识的驴友，后来总让我帮他规划所有徒步路线，这算是越界求助吗？,A hiking buddy I met on a trail now always asks me to plan all his routes. Is this an overstepping request?
